name,stationcount
70-tal,1
700,4
700 am,5
70er,68
70ige,1
70iger,2
70s,506
70s 80s 90s music,3
70s disco,28
70s oldies,1
70s rock,5
70s rock ballads,4
70s soft rock,11
710 am,2
720 am,1
730,2
730 am,3
740 am,1
76,1
76.1,2
76.2,3
76.3,3
76.4,1
76.5,1
76.7,1
76.8,1
76.9,1
760,1
760 am,2
77.4,1
77.5,3
77.6,1
77.7,3
77.9,2
78,3
78-rpm,4
78.1,1
78.9,1
780,1
780 am,1
78rpm,4
79.1,4
79.4,1
79.6,1
79.7,3
79.8,1
8 bit,8
80,28
80 hits,3
80 music,1
80's,199
80's hits,3
80's pop hits,1
80's trova 90's,1
80-90,2
80-tal,1
80.1,1
80er,131
80iger,3
80r,1
80s,1038
80s 90s grunge,2
80s disco,1
80s en español,29
80s hits,1
80s live radio,3
80s radio,11
80s rock,23
80s soft rock,6
80s stars,1
80s style,1
80s80s,1
80th,2
80th rock,1
80’s,1
81.5,1
81.8,1
810 am,2
82.2,1
82.6,1
820,1
820 am,1
83.2,1
83.4,1
83.8,1
830,1
830 am,3
84.0,1
84.2,1
84.4,1
84.5,1
85.4,2
85.6,1
850,3
850 am,4
86.1,1
86.2,1
86.8,2
86.9,1
860,1
860 am,5
87.0,1
87.3,1
87.6,3
87.6 fm,3
87.7,1
88.1,7
88.1 fm,15
88.2,2
88.3,4
88.3 fm,6
88.5,9
88.5 fm,16
88.6,3
88.6 fm,2
88.7,8
88.7 fm,9
88.8,1
88.8 fm,2
88.9,5
88.9 fm,7
89.1,12
89.1 fm,15
89.2,1
89.2 fm,1
89.3,3
89.3 fm,12
89.5,1
89.5 fm,6
89.5 livemusic nonstop all day all night,1
89.7,12
89.7 fm,19
89.9,4
89.9 fm,10
895,1
8bit,6
9. may,1
90,16
90 80 70,1
90's,144
90's and more!,1
90's country,1
90-tal,1
90-е,1
90.0,4
90.0 fm,3
90.1,12
90.1 fm,14
90.1 mix,1
90.25 fm city radio pattaya thailand,1
90.3,4
90.3 fm,9
90.5,4
90.5 fm,10
90.7,3
90.7 fm,10
90.9,4
90.9 fm,9
900,1
900 am,2
90er,86
90s,795
90s alternative,5
90s dance,14
90s hits,1
90s indie,1
90s rock,2
90s salsa,1
90s trance,1
90s y más,33
90’s,1
91 dat,1
91.1,2
91.1 fm,8
91.1.,1
91.3,5
91.3 fm,8
91.5,4
91.5 fm,9
91.6,1
91.6 fm,1
91.7,6
91.7 fm,11
91.9,2
91.9 fm,5
9128,1
92.0,1
92.0 fm,1
92.1,6
92.1 capital fm,1
92.1 fm,14
92.3,3
92.3 fm,11
92.4,1
92.4 fm,1
92.5,8
92.5 fm,14
92.7,2
92.7 fm,5
92.9,6
92.9  pop,2
92.9 fm,11
93.0,1
93.0 fm,1
93.1,6
93.1 fm,15
93.3,5
93.3 fm,27
93.4,3
93.5,4
93.5 fm,7
93.6,1
93.6 fm,1
93.7,5
93.7 fm,8
93.8,1
93.9,1
93.9 fm,9
930 am,1
94 fm,1
94.1,6
94.1 fm,10
94.3,2
94.3 fm,7
94.4,1
94.5,5
94.5 fm,10
94.7,1
94.7 fm,2
94.8,1
94.8 fm,1
94.9,5
94.9 fm,15
940,1
940 am,3
95.0,1
95.0 fm,1
95.1,3
95.1 fm,6
95.3,5
95.3 fm,18
95.5,7
95.5 fm,13
95.6,1
95.6 fm,1
95.7,3
95.7 fm,11
95.8,1
95.8 fm,1
95.9,3
95.9 fm,7
950 am,1
96 fm arapiraca,1
96.0,1
96.0 fm,1
96.1,10
96.1 fm,20
96.2fm,1
96.3,7
96.3 fm,11
96.4,1
96.5,6
96.5 fm,13
96.6,3
96.7,3
96.7 fm,4
96.8,1
96.8 fm,1
96.9,7
96.9 fm,13
960,1
960 am,3
96kbps,3
97.0,2
97.0 fm,2
97.1,7
97.1 fm,7
97.2 fm,1
